peak_id	direction	cytoband	q_value	residual_q	chrom	start	end	gene
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	CTSS
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	ENSA
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	MCL1
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	SETDB1
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	ADAMTSL4
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	GOLPH3L
amp:1q21.3	amp	1q21.3	8.19e-19	1.95e-07	1	150495164	150919620	HORMAD1
amp:3p25.1	amp	3p25.1	2.55e-07	2.55e-07	3	13714839	13726839	LOC285375
amp:8q24.21#2	amp	8q24.21	6.59e-19	3.31e-06	8	128739772	128781734	MYC
amp:2q13	amp	2q13	4.84e-06	4.84e-06	2	113908087	114236549	PAX8
amp:2q13	amp	2q13	4.84e-06	4.84e-06	2	113908087	114236549	PSD4
amp:2q13	amp	2q13	4.84e-06	4.84e-06	2	113908087	114236549	CBWD2
amp:2q13	amp	2q13	4.84e-06	4.84e-06	2	113908087	114236549	LOC654433
amp:10q22.2	amp	10q22.2	1.11e-05	1.11e-05	10	76700603	77071885	VDAC2
amp:10q22.2	amp	10q22.2	1.11e-05	1.11e-05	10	76700603	77071885	MYST4
amp:10q22.2	amp	10q22.2	1.11e-05	1.11e-05	10	76700603	77071885	DUSP13
amp:10q22.2	amp	10q22.2	1.11e-05	1.11e-05	10	76700603	77071885	COMTD1
amp:10q22.2	amp	10q22.2	1.11e-05	1.11e-05	10	76700603	77071885	SAMD8
amp:10q22.2	amp	10q22.2	1.11e-05	1.11e-05	10	76700603	77071885	DUPD1
amp:6p24.2	amp	6p24.2	3.76e-05	3.76e-05	6	11230043	11530964	NEDD9
amp:4p16.3	amp	4p16.3	3.93e-05	3.93e-05	4	1619389	1881446	FGFR3
amp:4p16.3	amp	4p16.3	3.93e-05	3.93e-05	4	1619389	1881446	LETM1
amp:4p16.3	amp	4p16.3	3.93e-05	3.93e-05	4	1619389	1881446	WHSC1
amp:4p16.3	amp	4p16.3	3.93e-05	3.93e-05	4	1619389	1881446	SLBP
amp:4p16.3	amp	4p16.3	3.93e-05	3.93e-05	4	1619389	1881446	TACC3
amp:4p16.3	amp	4p16.3	3.93e-05	3.93e-05	4	1619389	1881446	TMEM129
amp:4p16.3	amp	4p16.3	3.93e-05	3.93e-05	4	1619389	1881446	FAM53A
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	hsa-mir-762
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	CTF1
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	BCL7C
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	SETD1A
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	FBXL19
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	HSD3B7
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	ORAI3
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	STX1B
amp:16p11.2	amp	16p11.2	6.08e-05	6.08e-05	16	30854953	31009587	NCRNA00095
amp:20q13.2	amp	20q13.2	4.42e-06	9.89e-05	20	52181757	52349891	ZNF217
amp:12q13.2	amp	12q13.2	3.56e-06	0.00010406	12	56379486	56440068	RAB5B
amp:12q13.2	amp	12q13.2	3.56e-06	0.00010406	12	56379486	56440068	RPS26
amp:12q13.2	amp	12q13.2	3.56e-06	0.00010406	12	56379486	56440068	SUOX
amp:12q13.2	amp	12q13.2	3.56e-06	0.00010406	12	56379486	56440068	IKZF4
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	PPP1CA
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	PTPRCAP
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	RAD9A
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	RPS6KB2
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	CLCF1
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	CABP4
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	CORO1B
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	CARNS1
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	POLD4
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	TMEM134
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	TBC1D10C
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	GPR152
amp:11q13.2	amp	11q13.2	2.93e-06	0.00012411	11	67091753	67231888	LOC100130987
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	hsa-mir-486
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	ANK1
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	IKBKB
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	PLAT
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	MYST3
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	AP3M2
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	AGPAT6
amp:8p11.21	amp	8p11.21	1.51e-05	0.00012659	8	41474230	42143006	NKX6-3
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	hsa-mir-4278
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	hsa-mir-4277
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	ADCY2
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	CTNND2
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	DAP
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	MTRR
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	NDUFS6
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SDHA
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SLC6A3
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SLC9A3
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SRD5A1
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	TERT
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SEMA5A
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	TRIP13
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	PDCD6
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	40974.0
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SLC12A7
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	PAPD7
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	TPPP
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	EXOC3
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	CCT5
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	KIAA0947
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	LOC25845
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	IRX4
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	TAS2R1
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	NSUN2
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	CEP72
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	AHRR
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	MRPL36
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	BRD9
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	FASTKD3
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	IRX1
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	ZDHHC11
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	LPCAT1
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	CLPTM1L
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	ROPN1L
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	MED10
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	NKD2
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	C5orf55
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	CCDC127
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	UBE2QL1
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	C5orf49
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	FAM173B
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	CMBL
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	PLEKHG4B
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	C5orf38
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	IRX2
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	ADAMTS16
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	LOC255167
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	LOC285692
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SLC6A19
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	LOC340094
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SLC6A18
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	LRRC14B
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	FLJ33360
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SDHAP3
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	LOC728613
amp:5p15.33	amp	5p15.33	0.00036252	0.00036252	5	1	13173663	SNORD123
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	hsa-mir-3124
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	hsa-mir-3123
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ACTN2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ADSS
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	CHML
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	CHRM3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	FH
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	HNRNPU
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	MTR
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	RGS7
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	RYR2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF124
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	KMO
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	EXO1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	CEP170
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	AKT3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF238
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	SDCCAG8
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OPN3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	TRIM58
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	AHCTF1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR1C1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2M4
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2L2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2L1P
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	PPPDE1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	SCCPDH
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	KIF26B
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF692
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	FMN2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF695
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZP4
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	TFB2M
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	GREM2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	SMYD3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF669
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF672
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	SH3BP5L
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2G3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2G2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2C3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	EFCAB2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF496
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	ZNF670
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	NLRP3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	FAM36A
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2M5
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2M3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T12
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR14C36
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T34
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T10
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T4
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T11
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2B11
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	WDR64
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	C1orf150
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	LOC148824
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	LOC149134
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	CNST
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	PLD5
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	C1orf100
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T6
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	C1orf101
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	PGBD2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2L13
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR14A16
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	NCRNA00201
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	VN1R5
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	LOC339535
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR6F1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2W3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T8
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T29
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	C1orf229
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2M1P
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR11L1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2L8
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2AK2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2L3
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2M2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T33
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2M7
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2G6
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T2
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T5
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR14I1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T27
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2T35
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	MAP1LC3C
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR2W5
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	OR13G1
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	LOC646627
amp:1q43	amp	1q43	2.26e-08	0.00077755	1	236870608	249250621	LOC100130331
amp:9p24.2	amp	9p24.2	0.0026279	0.0026279	9	3631009	3836166	GLIS3
amp:2p23.2	amp	2p23.2	0.0070936	0.0070936	2	28508425	28982826	FOSL2
amp:2p23.2	amp	2p23.2	0.0070936	0.0070936	2	28508425	28982826	PPP1CB
amp:2p23.2	amp	2p23.2	0.0070936	0.0070936	2	28508425	28982826	BRE
amp:2p23.2	amp	2p23.2	0.0070936	0.0070936	2	28508425	28982826	PLB1
amp:19p13.2#2	amp	19p13.2	0.001869	0.010972	19	7300056	7398264	INSR
amp:17q21.32	amp	17q21.32	0.00010326	0.010982	17	46464740	46639145	HOXB1
amp:17q21.32	amp	17q21.32	0.00010326	0.010982	17	46464740	46639145	HOXB2
amp:17q21.32	amp	17q21.32	0.00010326	0.010982	17	46464740	46639145	HOXB3
amp:17q21.32	amp	17q21.32	0.00010326	0.010982	17	46464740	46639145	SKAP1
amp:14q24.3	amp	14q24.3	0.0049548	0.018291	14	77353291	77410930	C14orf166B
amp:18q11.2	amp	18q11.2	0.022211	0.022211	18	23633135	24439885	AQP4
amp:18q11.2	amp	18q11.2	0.022211	0.022211	18	23633135	24439885	SS18
amp:18q11.2	amp	18q11.2	0.022211	0.022211	18	23633135	24439885	TAF4B
amp:18q11.2	amp	18q11.2	0.022211	0.022211	18	23633135	24439885	PSMA8
amp:18q11.2	amp	18q11.2	0.022211	0.022211	18	23633135	24439885	KCTD1
amp:18q11.2	amp	18q11.2	0.022211	0.022211	18	23633135	24439885	LOC728606
amp:5q22.3	amp	5q22.3	0.024732	0.024732	5	114756122	114759166	FEM1C
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	C8G
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	PTGDS
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	TRAF2
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	CLIC3
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	FBXW5
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	LCN12
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	C9orf142
amp:9q34.3	amp	9q34.3	0.065391	0.065391	9	139793924	139897193	LCNL1
amp:11p11.2	amp	11p11.2	0.069711	0.069711	11	46300642	46481485	hsa-mir-3160-2
amp:11p11.2	amp	11p11.2	0.069711	0.069711	11	46300642	46481485	hsa-mir-3160-1
amp:11p11.2	amp	11p11.2	0.069711	0.069711	11	46300642	46481485	CHRM4
amp:11p11.2	amp	11p11.2	0.069711	0.069711	11	46300642	46481485	MDK
amp:11p11.2	amp	11p11.2	0.069711	0.069711	11	46300642	46481485	DGKZ
amp:11p11.2	amp	11p11.2	0.069711	0.069711	11	46300642	46481485	AMBRA1
amp:11p11.2	amp	11p11.2	0.069711	0.069711	11	46300642	46481485	CREB3L1
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	hsa-mir-106b
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	hsa-mir-93
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	hsa-mir-25
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	AZGP1
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	MCM7
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	TAF6
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	ZNF3
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	ZKSCAN1
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	ZSCAN21
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	AP4M1
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	STAG3
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	COPS6
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	C7orf43
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	GAL3ST4
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	GPC2
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	CNPY4
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	MBLAC1
amp:7q22.1	amp	7q22.1	0.098357	0.098357	7	99538700	99782632	C7orf59
amp:11q13.1	amp	11q13.1	0.0017892	0.10474	11	63641511	63755960	COX8A
amp:11q13.1	amp	11q13.1	0.0017892	0.10474	11	63641511	63755960	MARK2
amp:11q13.1	amp	11q13.1	0.0017892	0.10474	11	63641511	63755960	OTUB1
amp:11q13.1	amp	11q13.1	0.0017892	0.10474	11	63641511	63755960	NAA40
amp:11q13.1	amp	11q13.1	0.0017892	0.10474	11	63641511	63755960	RCOR2
amp:20p13	amp	20p13	0.10474	0.10474	20	1	4379519	hsa-mir-103-2-as
amp:20p13	amp	20p13	0.10474	0.10474	20	1	4379519	hsa-mir-1292
amp:20p13	amp	20p13	0.10474	0.10474	20	1	4379519	hsa-mir-103-2
amp:20p13	amp	20p13	0.10474	0.10474	20	1	4379519	ADRA1D
amp:20p13	amp	20p13	0.10474	0.10474	20	1	4379519	AVP
